1227,130.2924721,47.3386659,2005/11/24,1,黑龙江鹤岗市鹏缘煤矿,qita
1121,130.2924721,47.3386659,2005/12/21,1,黑龙江鹤岗市德成煤矿,yunshu
401,130.2924721,47.3386659,2009/11/21,108,黑龙江龙煤集团鹤岗分公司新兴煤矿,wasi
51,130.2924721,47.3386659,2014/7/5,7,黑龙江省鹤岗市一煤矿,dingban
8253,130.2817646,47.29882094,2000/8/8,4,黑龙江省鹤岗市南山区鑫鼎煤矿,wasi
6837,130.2817646,47.29882094,2002/7/8,39,黑龙江鹤岗市南山区第七煤矿,wasi
6834,130.2817646,47.29882094,2002/7/8,44,002年7月8日黑龙江鹤岗市南山区鼎盛煤矿,wasi
6300,130.2817646,47.29882094,2002/10/19,7,黑龙江鹤岗市南山区检顺煤矿,huozai
5249,130.2817646,47.29882094,2003/5/25,1,黑龙江鹤岗市南山区鹤岗矿务局南山煤矿,dingban
1753,130.2817646,47.29882094,2005/7/25,1,黑龙江南山区鹤岗市鑫达煤矿,yunshu
373,130.2817646,47.29882094,2010/3/5,4,黑龙江龙煤股份公司鹤岗分公司南山煤矿,wasi
7574,130.2879713,47.29597381,2001/12/12,1,黑龙江鹤岗矿务局大陆煤矿,dingban
6687,130.2659553,47.28020153,2002/8/3,1,黑龙江鹤岗矿务局富力煤矿,dingban
4767,130.2659553,47.28020153,2003/8/8,8,黑龙江鹤岗矿务局富力煤矿,wasi
662,130.2659553,47.28020153,2007/8/21,3,黑龙江鹤岗矿务局富力煤矿,qita
8188,123.0891028,47.25889503,2001/3/21,32,龙江农垦总局新华煤矿,qita
8048,130.2443753,47.23371007,2001/6/15,1,黑龙江省岗矿务局兴安煤矿,dingban
6308,130.2443753,47.23371007,2002/10/18,1,黑龙江鹤岗矿务局兴安煤矿,dingban
5978,130.2443753,47.23371007,2002/12/17,6,黑龙江鹤岗市兴安区隆安煤矿,wasi
5577,130.2443753,47.23371007,2003/3/23,2,黑龙江鹤岗市兴安区鹤岗矿务局兴安煤矿,dingban
3774,130.2443753,47.23371007,2004/3/17,1,黑龙江鹤岗市兴安区鹤岗矿业集团峻德煤矿,yunshu
3461,130.2443753,47.23371007,2004/5/19,1,黑龙江鹤岗市兴安区鹤岗矿业集团峻德煤矿,yunshu
3170,130.2443753,47.23371007,2004/7/16,1,黑龙江鹤岗市兴安区兴胜煤矿,dingban
3059,130.2443753,47.23371007,2004/8/5,1,黑龙江鹤岗市兴安区兴安煤矿,dingban
3022,130.2443753,47.23371007,2004/8/12,1,黑龙江鹤岗市兴安区鹤岗矿业集团峻德煤矿,dingban
2785,130.2443753,47.23371007,2004/10/15,2,黑龙江鹤岗市兴安区兴伟煤矿,shuizai
2469,130.2443753,47.23371007,2005/1/18,2,黑龙江鹤岗市兴安区中兴煤矿,dingban
1773,130.2443753,47.23371007,2005/7/21,1,黑龙江鹤岗矿业集团兴安煤矿,dingban
1769,130.2443753,47.23371007,2005/7/22,1,黑龙江鹤岗市兴安区鹤岗矿业集团兴安煤矿,qita
1377,130.2443753,47.23371007,2005/10/20,1,黑龙江鹤岗矿业集团兴安煤矿,yunshu
906,130.2443753,47.23371007,2006/6/1,4,黑龙江鹤岗矿务局兴安煤矿,dingban
826,130.2443753,47.23371007,2006/10/15,8,黑龙江鹤岗市兴安区兴伟煤矿,wasi
586,130.2443753,47.23371007,2008/3/5,13,黑龙江鹤岗市兴安区泰源煤矿,huozai
7761,130.3016007,47.20106047,2001/10/11,2,黑龙江鹤岗矿务局峻德煤矿,yunshu
1037,130.3016007,47.20106047,2006/1/23,1,黑龙江鹤岗煤业集团峻德煤矿,yunshu
122,130.3016007,47.20106047,2013/3/15,4,黑龙江省龙煤集团鹤岗分公司峻德煤矿,dingban
8201,130.3106238,47.11741155,2001/3/1,1,黑龙江省农垦总局鹤岗新华农场煤矿,wasi
8200,130.3106238,47.11741155,2001/3/3,32,龙江省农垦总局鹤岗新华农场煤矿,wasi
8182,130.3049029,47.11392729,2001/3/26,32,黑龙江鹤岗新华煤矿,huozai
1590,132.6883393,46.98835213,2005/8/27,1,黑龙江双鸭山市兴发煤矿,dingban
6590,131.1505559,46.81843708,2002/8/18,1,黑龙江双鸭山矿务局集贤煤矿,dingban
6576,131.1505559,46.81843708,2002/8/20,1,黑龙江双鸭山市集贤县亿顺煤矿,dingban
5971,131.1505559,46.81843708,2002/12/18,1,黑龙江双鸭山市集贤县龙海煤矿,yunshu
5409,131.1505559,46.81843708,2003/4/23,1,黑龙江双鸭山市集贤县双鸭山矿业集团集贤煤矿,yunshu
5132,131.1505559,46.81843708,2003/6/13,1,黑龙江双鸭山市集贤县双鸭山矿业集团集贤煤矿,jidian
4829,131.1505559,46.81843708,2003/7/29,2,黑龙江双鸭山市集贤县亿顺煤矿,dingban
3177,131.1505559,46.81843708,2004/7/15,1,黑龙江双鸭山市集贤县龙海煤矿,dingban
2920,131.1505559,46.81843708,2004/9/7,2,黑龙江双鸭山市集贤县龙海煤矿,fangpao
2267,131.1505559,46.81843708,2005/3/24,1,黑龙江双鸭山市集贤县龙海煤矿,yunshu
2159,131.1505559,46.81843708,2005/4/21,1,黑龙江双鸭山市集贤县金三角煤矿,yunshu
1790,131.1505559,46.81843708,2005/7/18,1,黑龙江双鸭山市集贤县龙海煤矿,dingban
6369,131.2717225,46.79951067,2002/10/4,1,黑龙江双鸭山市集贤县国庆村金三角煤矿,dingban
5529,131.2062361,46.79739291,2003/4/2,1,黑龙江佳木斯市升平煤矿,dingban
6517,131.4150118,46.79324,2002/9/1,1,黑龙江双鸭山市集贤县兴久村龙海煤矿,dingban
4999,131.8549989,46.78859281,2003/7/5,1,黑龙江双鸭山市友谊县汇丰煤矿,dingban
2734,131.8549989,46.78859281,2004/10/30,1,黑龙江双鸭山市友谊县新堡煤矿,huozai
2671,131.8549989,46.78859281,2004/11/18,1,黑龙江双鸭山市友谊县淑清煤矿,dingban
1603,131.8549989,46.78859281,2005/8/25,1,黑龙江双鸭山市友谊县淑清煤矿,fangpao
1523,131.8549989,46.78859281,2005/9/11,1,黑龙江双鸭山市友谊县金蕴煤矿,qita
7878,82.97488058,46.75868363,2001/9/1,10,新疆塔城地区和丰县英特格乡团结煤矿,wasi
7681,82.97488058,46.75868363,2001/11/6,1,新疆塔城地区地区煤矿,yunshu
7678,82.97488058,46.75868363,2001/11/7,1,新疆塔城地区和布县253煤矿,dingban
